Pittsburg State,Pitt St,,,
pittsburgh,pitt,pit,,
portland state,prst,,,
Prairie View A&M,,,,
presbyterian,pre,,,
princeton,prin,,,
purdue,pur,,,
rhode island,uri,,,
rice,rice,,,
richmond,rich,,,
robert morris (pa),rmu,,,
rutgers,rutg,rutties,,
S.F. Austin,sfa,stephen f austin,,
sacramento state,sac,,,
sacred heart,shu,,,
Saginaw Valley State,svsu,,,
Saint John's Minnesota,SJMU,,,
sam houston state,shsu,,,
samford,sam,,,
san diego,usd,,,
san diego state,sdsu,SD st,,
san josé state,sjsu,,,
savannah state,sav,,,
SE Missouri State,SEMSU,,,
Sioux Falls,,,,
smu,smu,,,
south alabama,usa,,,
south carolina,sc,scar,,
south carolina state,scst,,,
south dakota,sdak,,,
south dakota state,sdsu,,,
south florida,usf,,,
southeast missouri,semo,,,
southeastern louisiana,sela,,,
Southern,,,,
southern illinois,siu,,,
southern miss,usm,,,
southern utah,suu,,,
st. francis pa,sfu,,,
stanford,stan,,,
stephen f. austin,sfa,,,
stetson,stet,,,
stony brook,ston,,,
swac,swac,,,
syracuse,syr,cuse,,
Tarleton St.,,,,
tcu,tcu,,,
temple,tem,,,
tennessee,tenn,ut,,
tennessee state,tnst,,,
tennessee tech,tntc,,,
texas,tex,ut,,
texas a&m,tamu,texas anm,a&m,TAMU
Texas A&M-Commerce,,,,
Texas El Paso,utep,utep,,
Texas San Antonio,utsa,utsa,,
Texas Southern,tsou,,,
texas state,txst,,,
texas tech,ttu,ttech,,
the citadel,cit,,,
toledo,tol,toledo,,
towson,tows,,,
troy,troy,,,
tulane,tuln,,,
tulsa,tlsa,,,
uc davis,ucd,,,
ucf,ucf,,,
ucla,ucla,,,
uconn,conn,ucon,,
umass,umass,,,
unlv,unlv,,,
upenn,penn,,,
usc,usc,,,
UT Martin,utm,tennessee-martin,,
utah,utah,,,
utah state,usu,,,
Valdosta State,,,,
valparaiso,valp,,,
vanderbilt,van,vandy,,
villanova,nova,,,
virginia,uva,,,
Virginia State,,,,
virginia tech,vt,vtech,vatech,
vmi,vmi,,,
wagner,wag,,,
wake forest,wake,wf,,
Washburn,,,,
washington,wash,uw,,
washington state,wsu,wazoo,,
weber state,web,,,
West Alabama,,,,
West Georgia,,,,
west virginia,wvu,,,
western carolina,wcu,,,
western illinois,wiu,,,
Western Kentucky,,,,
western michigan,wmu,,,
william & mary,w&m,,,
Wingate,,,,
wisconsin,wis,sconsin,,
Wisconsin–Whitewater,,,,
wku,wku,,,
wofford,wof,,,
wyoming,wyo,,,
yale,yale,,,
youngstown state,ysu,,,
